料號,類別,品名,描述,飲食標籤,辣度,價格TWD
前菜001,前菜,蒜香橄欖油佛卡夏,佛卡夏麵包、蒜、橄欖油、香草,含麩質;素食,0,120
前菜002,前菜,番茄羅勒布魯斯凱塔,烤麵包、番茄丁、羅勒、橄欖油,含麩質;素食,0,160
前菜003,前菜,帕瑪火腿哈密瓜,帕瑪火腿、哈密瓜、黑胡椒,無麩質;非素食,0,260
前菜004,前菜,炸起司米球,義大利米、莫札瑞拉起司、帕瑪森,含麩質;非素食,0,220
前菜005,前菜,香草烤蘑菇,蘑菇、蒜、迷迭香、橄欖油,無麩質;素食,0,200
前菜006,前菜,烤朝鮮薊佐檸檬,朝鮮薊、檸檬、蒜、橄欖油,無麩質;素食,0,230
前菜007,前菜,辣味番茄肉丸,牛肉丸、番茄醬、辣椒、香草,無麩質;非素食,2,240
前菜008,前菜,煙燻鮭魚脆餅,煙燻鮭魚、薄脆餅、檸檬,含麩質;非素食,0,260
沙拉001,沙拉,經典凱薩沙拉,蘿蔓生菜、帕瑪森、麵包丁、凱薩醬,含麩質;非素食,0,280
沙拉002,沙拉,義式番茄起司沙拉,番茄、莫札瑞拉、羅勒、橄欖油,無麩質;素食,0,300
沙拉003,沙拉,烤雞胸沙拉,雞胸肉、生菜、油醋醬,無麩質;非素食,0,320
沙拉004,沙拉,煙燻鮭魚沙拉,鮭魚、生菜、檸檬油醋,無麩質;非素食,0,340
沙拉005,沙拉,藜麥蔬菜沙拉,藜麥、甜椒、小黃瓜、橄欖油,無麩質;素食,0,300
沙拉006,沙拉,辣味牛肉沙拉,牛肉片、辣椒、生菜、紅酒醋,無麩質;非素食,2,360
湯品001,湯品,番茄蔬菜湯,番茄、洋蔥、芹菜、胡蘿蔔,無麩質;素食,0,180
湯品002,湯品,南瓜濃湯,南瓜、鮮奶油、洋蔥,無麩質;素食,0,200
湯品003,湯品,海鮮番茄湯,白蝦、淡菜、番茄、蒜,無麩質;非素食,1,260
湯品004,湯品,雞肉蔬菜湯,雞肉、胡蘿蔔、洋蔥、香草,無麩質;非素食,0,220
義大利麵001,義大利麵,番茄羅勒義大利麵,番茄醬、羅勒、橄欖油,含麩質;素食,0,280
義大利麵002,義大利麵,奶油培根義大利麵,培根、鮮奶油、洋蔥,含麩質;非素食,0,320
義大利麵003,義大利麵,青醬雞肉義大利麵,雞肉、羅勒青醬、松子,含麩質;非素食,0,340
義大利麵004,義大利麵,辣味海鮮義大利麵,白蝦、花枝、辣椒、蒜,含麩質;非素食,2,360
義大利麵005,義大利麵,松露野菇義大利麵,野菇、松露醬、奶油,含麩質;素食,0,380
義大利麵006,義大利麵,蒜辣橄欖油義大利麵,蒜、辣椒、橄欖油,含麩質;素食,2,260
義大利麵007,義大利麵,經典肉醬義大利麵,牛肉末、番茄、洋蔥,含麩質;非素食,0,300
義大利麵008,義大利麵,海膽奶油義大利麵,海膽、鮮奶油、蒜,含麩質;非素食,0,420
燉飯001,燉飯,野菇奶油燉飯,義大利米、綜合野菇、奶油,無麩質;素食,0,320
燉飯002,燉飯,松露起司燉飯,義大利米、松露醬、起司,無麩質;素食,0,380
燉飯003,燉飯,海鮮番茄燉飯,白蝦、淡菜、番茄,無麩質;非素食,1,360
燉飯004,燉飯,番紅花奶油燉飯,番紅花、奶油、帕瑪森,無麩質;素食,0,340
比薩001,比薩,瑪格麗特比薩,番茄、莫札瑞拉、羅勒,含麩質;素食,0,320
比薩002,比薩,四種起司比薩,莫札瑞拉、帕瑪森、藍紋、羊乳起司,含麩質;素食,0,360
比薩003,比薩,帕瑪火腿芝麻葉比薩,帕瑪火腿、芝麻葉、帕瑪森,含麩質;非素食,0,420
比薩004,比薩,辣味臘腸比薩,義大利臘腸、辣椒、莫札瑞拉,含麩質;非素食,2,380
帕里尼001,帕里尼,烤雞起司帕里尼,雞肉、莫札瑞拉、帕里尼麵包,含麩質;非素食,0,280
帕里尼002,帕里尼,火腿起司帕里尼,火腿、莫札瑞拉、帕里尼麵包,含麩質;非素食,0,260
帕里尼003,帕里尼,烤蔬菜帕里尼,櫛瓜、甜椒、茄子、起司,含麩質;素食,0,240
方餃001,方餃,瑞可塔菠菜方餃,瑞可塔起司、菠菜,含麩質;素食,0,300
方餃002,方餃,牛肉香草方餃,牛肉、香草、起司,含麩質;非素食,0,320
方餃003,方餃,松露起司方餃,起司、松露醬,含麩質;素食,0,360
主菜001,主菜,香煎雞腿排,雞腿肉、香草、檸檬,無麩質;非素食,0,420
主菜002,主菜,香煎鮭魚佐檸檬奶油,鮭魚、檸檬、奶油,無麩質;非素食,0,460
主菜003,主菜,紅酒燉牛膝,牛膝、紅酒、番茄、洋蔥,無麩質;非素食,0,520
主菜004,主菜,迷迭香烤羊排,羊排、迷迭香、蒜,無麩質;非素食,0,580
配菜001,配菜,蒜炒菠菜,菠菜、蒜、橄欖油,無麩質;素食,0,120
配菜002,配菜,香草烤馬鈴薯,馬鈴薯、迷迭香、橄欖油,無麩質;素食,0,140
配菜003,配菜,烤時蔬拼盤,當季蔬菜、橄欖油、海鹽,無麩質;素食,0,160
飲品001,飲品,義式濃縮咖啡,咖啡豆、水,無麩質;素食,0,90
飲品002,飲品,卡布奇諾,咖啡、牛奶,無麩質;素食,0,120
飲品003,飲品,檸檬氣泡水,檸檬、氣泡水,無麩質;素食,0,110
飲品004,飲品,紅酒杯飲,葡萄,無麩質;素食,0,180
甜點001,甜點,提拉米蘇,馬斯卡彭、咖啡、可可、手指餅乾,含麩質;素食,0,220
甜點002,甜點,義式奶酪,鮮奶油、香草,無麩質;素食,0,200
甜點003,甜點,巧克力熔岩蛋糕,巧克力、奶油、麵粉,含麩質;素食,0,240
甜點004,甜點,檸檬塔,檸檬、奶油、麵粉,含麩質;素食,0,230
甜點005,甜點,開心果冰淇淋,開心果、牛奶、鮮奶油,無麩質;素食,0,180
甜點006,甜點,香草焦糖布丁,雞蛋、牛奶、香草、焦糖,無麩質;素食,0,190
飲品005,飲品,冰拿鐵,咖啡、牛奶、冰塊,無麩質;素食,0,140
飲品006,飲品,蜜桃冰茶,紅茶、蜜桃、檸檬,無麩質;素食,0,130
配菜004,配菜,帕瑪森薯條,馬鈴薯、帕瑪森、香草,無麩質;素食,0,180
配菜005,配菜,奶油玉米,玉米、奶油、海鹽,無麩質;素食,0,160
主菜005,主菜,香煎鴨胸佐莓果醬,鴨胸、莓果醬、黑胡椒,無麩質;非素食,0,560
主菜006,主菜,香蒜奶油白蝦,白蝦、蒜、奶油,無麩質;非素食,1,520
方餃004,方餃,南瓜鼠尾草方餃,南瓜、鼠尾草、奶油,含麩質;素食,0,340
方餃005,方餃,蘑菇奶油方餃,蘑菇、鮮奶油、起司,含麩質;素食,0,330
帕里尼004,帕里尼,辣味雞肉帕里尼,雞肉、辣椒醬、起司,含麩質;非素食,2,290
帕里尼005,帕里尼,松露野菇帕里尼,野菇、松露醬、起司,含麩質;素食,0,300
比薩005,比薩,海鮮白醬比薩,白蝦、花枝、白醬,含麩質;非素食,1,420
比薩006,比薩,烤蔬菜比薩,櫛瓜、甜椒、茄子,含麩質;素食,0,360
比薩007,比薩,蘑菇松露比薩,蘑菇、松露醬、莫札瑞拉,含麩質;素食,0,420
燉飯005,燉飯,起司海鮮燉飯,白蝦、起司、義大利米,無麩質;非素食,1,420
燉飯006,燉飯,檸檬雞肉燉飯,雞肉、檸檬、起司,無麩質;非素食,0,380
義大利麵009,義大利麵,檸檬鮮蝦細麵,白蝦、檸檬、蒜,含麩質;非素食,1,360
義大利麵010,義大利麵,茄汁烤茄子義大利麵,茄子、番茄醬、羅勒,含麩質;素食,0,300
義大利麵011,義大利麵,辣味培根番茄麵,培根、番茄、辣椒,含麩質;非素食,2,340
義大利麵012,義大利麵,奶油菠菜起司麵,菠菜、起司、鮮奶油,含麩質;素食,0,320
湯品005,湯品,蘑菇濃湯,蘑菇、鮮奶油、洋蔥,無麩質;素食,0,220
湯品006,湯品,辣味海鮮湯,白蝦、淡菜、辣椒,無麩質;非素食,2,280
沙拉007,沙拉,甜菜根起司沙拉,甜菜根、羊乳起司、堅果,無麩質;素食,0,340
沙拉008,沙拉,蘋果核桃沙拉,蘋果、核桃、生菜,無麩質;素食,0,320
沙拉009,沙拉,地中海鮪魚沙拉,鮪魚、橄欖、番茄,無麩質;非素食,0,360
前菜009,前菜,義式辣香腸拼盤,義式辣香腸、起司、橄欖,無麩質;非素食,2,380
前菜010,前菜,烤章魚沙拉,章魚、檸檬、橄欖油,無麩質;非素食,0,420
飲品007,飲品,氣泡檸檬薄荷飲,檸檬、薄荷、氣泡水,無麩質;素食,0,140
飲品008,飲品,熱可可,可可、牛奶,無麩質;素食,0,150
甜點007,甜點,咖啡冰淇淋,咖啡、鮮奶油,無麩質;素食,0,180
甜點008,甜點,莓果優格杯,優格、莓果,無麩質;素食,0,170
主菜007,主菜,番茄烤鱈魚,鱈魚、番茄、香草,無麩質;非素食,0,520
主菜008,主菜,香草烤豬里肌,豬里肌、香草、蒜,無麩質;非素食,0,480
配菜006,配菜,烤杏鮑菇,杏鮑菇、橄欖油、海鹽,無麩質;素食,0,180
配菜007,配菜,蒜香奶油花椰菜,花椰菜、奶油、蒜,無麩質;素食,0,180
甜點009,甜點,草莓提拉米蘇杯,馬斯卡彭、草莓、咖啡、可可,含麩質;素食,0,230
甜點010,甜點,榛果巧克力慕斯,榛果、巧克力、鮮奶油,無麩質;素食,0,240
飲品009,飲品,伊人檸檬紅茶,紅茶、檸檬、蜂蜜,無麩質;素食,0,130
飲品010,飲品,氣泡葡萄柚飲,葡萄柚、氣泡水,無麩質;素食,0,140
配菜008,配菜,香蒜奶油蘆筍,蘆筍、蒜、奶油,無麩質;素食,0,200
配菜009,配菜,松露薯泥,馬鈴薯、松露醬、奶油,無麩質;素食,0,220
主菜009,主菜,香草烤牛肋眼,牛肋眼、迷迭香、黑胡椒,無麩質;非素食,0,780
主菜010,主菜,辣味番茄海鮮總匯,白蝦、淡菜、番茄、辣椒,無麩質;非素食,2,620
沙拉010,沙拉,伊人帕瑪森烤南瓜沙拉,南瓜、帕瑪森、生菜、油醋,無麩質;素食,0,330


